title,authors,journal,pub_date,doi,pmid,pmcid,topics,source,is_preprint,abstract
Silent carriage of tigecycline- and carbapenem-resistant Klebsiella quasipneumoniae co-harbouring tetX(4) and blaNDM-1 in healthy individuals in China.,Wang J; Yan Z; Shen H; Xin L; Dong H; Sun Y; Li H; Zhang R,Int J Antimicrob Agents,2026-09-17,10.1016/j.ijantimicag.2026.108009,42753832,,Antimicrobial Resistance; Metagenomics,pubmed,False,"OBJECTIVES: To investigate the occurrence and genomic characteristics of tigecycline- and carbapenem-resistant Klebsiella quasipneumoniae isolated from healthy individuals in China.

METHODS: During a nationwide screening programme, faecal samples from healthy community individuals were cultured for carbapenem-resistant Enterobacterales. Antimicrobial susceptibility testing, whole-genome sequencing and conjugation assays were performed for two K. quasipneumoniae isolates co-harbouring tet(X4) and blaNDM-1.

RESULTS: Two K. quasipneumoniae strains carrying tet(X4) and blaNDM-1 were recovered from healthy individuals without recent hospitalisation or antibiotic exposure. Both isolates showed resistance to tigecycline (>8 μg/mL) and carbapenems (≥4 μg/mL). Genomic analysis demonstrated close clonal relatedness between the isolates (ST6460-1LV, KL151). The blaNDM-1 gene was located on an IncX3 plasmid associated with mobile genetic elements, whereas tet(X4) was carried by an IncX1 plasmid. Conjugation assays confirmed successful transfer of both resistance genes, which frequently co-transferred into recipient strains.

CONCLUSIONS: To our knowledge, this is the first report of K. quasipneumoniae co-harbouring tet(X4) and blaNDM-1 in healthy individuals in China. The findings indicate that healthy community populations may serve as a hidden reservoir for last-resort antimicrobial resistance genes and underscore the importance of community-based surveillance within a One Health framework."
"Establishment of epidemiological cut-off values of cefotaxime-sulbactam against Escherichia coli, Klebsiella pneumoniae, Enterobacter cloacae, Proteus mirabilis, Serratia marcescens, Acinetobacter baumannii and Staphylococcus aureus.",Zhou M; Wu Y; Kang W; Yang Q; Zheng B; Hu F; Yu Y; Zhuo C; Zhang G; Zhang J; Li J; Wang T; Gao H; Xu Y,Front Microbiol,2026-09-02,10.3389/fmicb.2026.1866137,42750705,PMC13578078,Antimicrobial Resistance; Bioinformatics Tools,pubmed,False,"OBJECTIVE: To establish the epidemiological cut-off (ECOFF) value of cefotaxime-sulbactam against Escherichia coli, Klebsiella pneumoniae, Enterobacter cloacae, Proteus mirabilis, Serratia marcescens, Acinetobacter baumannii, and Staphylococcus aureus.

METHODS: A total of 1,770 non-duplicate clinical isolates were collected from five laboratories in four cities in China. Minimum inhibitory concentrations (MICs) of cefotaxime-sulbactam were determined independently using the broth microdilution method according to EUCAST standards. For A. baumannii, cefotaxime-sulbactam was tested at a 2:1 ratio, whereas for the other species sulbactam was tested at a fixed concentration of 4 mg/L. ECOFFs were determined using ECOFFinder software and visual estimation following EUCAST principles.

RESULTS: Statistical endpoints at 95%, 97.5%, 99%, 99.5%, and 99.9% were calculated. The final ECOFFs were assigned based on concordance between ECOFFinder-derived estimates and visual inspection, using the 99% endpoint as the primary statistical estimate. The ECOFFs were 0.25/4 mg/L for E. coli and K. pneumoniae; 0.5/4 mg/L for E. cloacae; 0.06/4 mg/L for P. mirabilis; 1/4 mg/L for S. marcescens; 4/4 mg/L for S. aureus; and 4/2 mg/L for A. baumannii.

CONCLUSION: ECOFFs of cefotaxime-sulbactam were established for seven clinically important bacterial species. These results provide essential reference values for distinguishing wild-type from non-wild-type isolates and support future breakpoint-setting and antimicrobial resistance surveillance."
A multinational genomic framework for predicting β-lactam resistance in Haemophilus influenzae.,Deghmane AE; Asmi M; Abel S; Bajanca-Lavado P; Claus H; D'Aeth J; Garcia I; Kiedrowska M; Lam TT; Litt D; Martiny D; Meilleur C; Skoczyńska A; Tzanakaki G; Xirogianni A; Taha MK,J Antimicrob Chemother,2026-Sep-01,10.1093/jac/dkag307,42747902,,Antimicrobial Resistance,pubmed,False,"BACKGROUND: Haemophilus influenzae resistance to β-lactams is mediated by β-lactamase and amino acid alterations in penicillin-binding protein 3 encoded by ftsI gene, which shows incomplete phenotype-genotype concordance.

OBJECTIVES: To develop and evaluate a genomic classification framework to predict clinically relevant β-lactam resistance categories.

METHODS: We analysed 5288 H. influenzae isolates collected in eight European countries and Canada. Among these, 4833 isolates had phenotypic β-lactam susceptibility that were classified into three categories: susceptible to amoxicillin (AMX), resistant to AMX but susceptible to cefotaxime and resistant to both. A 621 bp DNA fragments of the whole ftsI gene (between codons 326 and 532) were analysed to construct category-specific k-mer vocabulary and an allele classifier using Python scripts. Performance was assessed using independent allele validation and agreement with phenotypic classification was evaluated using Cohen's κ coefficient. An additional 455 isolates lacked phenotypic data and were used for external genomic application.

RESULTS: Forty-seven frequent ftsI alleles and 34 additional alleles were used for the implementation and the refinement of the vocabulary. Subsequently, 23 other alleles were used for independent allele validation and resulted in correctly predicted resistance categories for 21 alleles (accuracy 91.3%). Agreement with phenotypic classification was high (Cohen's κ 0.853; weighted κ 0.880). Application of the classifier to 455 UK isolates predicted resistance distributions consistent with those observed in phenotypically characterized datasets.

CONCLUSIONS: A recurrence-filtered k-mer-based vocabulary provides a promising standardized genomic framework that complements phenotypic AST, particularly when phenotypic testing is unavailable, incomplete or heterogeneous."
In silico resistance prediction of oral streptococci to recommended prophylactic antibiotics to prevent infective endocarditis upon dental procedures.,Ceccon Chianca G; Chamon RC; Peixoto de Albuquerque J; Cardoso Corrêa Póvoa H; Faria da Mota F; Lopes Pontes Povoa Iorio N,J Antimicrob Chemother,2026-Sep-01,10.1093/jac/dkag320,42747901,,Antimicrobial Resistance; Bioinformatics Tools,pubmed,False,"BACKGROUND: For over 70 years, guidelines have recommended antibiotics for infective endocarditis (IE) prophylaxis before dental procedures, focusing on oral streptococci.

OBJECTIVES: Our in silico study aimed to evaluate the potential resistance of oral streptococci against prophylactic antibiotics used before invasive dental procedures to prevent IE.

METHODS: The genomic assemblies and metadata of Streptococcus IE isolates were searched using specific terms in BioSample and RefSeq databases. Their antimicrobial resistance phenotypes for 91 drugs belonging to 22 different classes were predicted with ResFinder and analysed regarding the recommended IE dental prophylactic antibiotics, focusing on the oral streptococci assemblies.

RESULTS: Among the 258 Streptococcus isolates dating from 1935 to 2021 from 12 countries, 79.46% were classified as oral streptococci, and 38.37% of the 258 assemblies carried resistance genes to at least one antimicrobial. Seven isolates carried the transposon Tn6331, which can confer resistance to aminoglycosides, macrolides, lincosamides, streptogramins and tetracyclines. Within the oral Streptococcus strains, none carried resistance genes to amoxicillin, but potential resistance to azithromycin (24.88%) and doxycycline (16.59%) was observed.

CONCLUSIONS: Our in silico study showed that none of the oral Streptococcus assemblies from IE carried resistance genes to the primary regimen recommended for IE prophylaxis following invasive dental procedures. However, several assemblies were potentially resistant to alternative prophylactic regimens for patients allergic to penicillin or ampicillin."
In vitro activity of zosurabalpin against a global set of carbapenem-resistant-A. baumannii clinical isolates.,Mancini S; Seth-Smith HMB; Haldimann K; Moran-Gilad J; Aktas E; Güneş Ö; Mama Hussen M; Willcox M; Shahzad S; Syed MA; Kolesnik-Goldmann N; Roloff T; Nolte O; Egli A,Antimicrob Agents Chemother,2026-09-16,10.1128/aac.00727-26,42747471,,Antimicrobial Resistance,pubmed,False,"The limited treatment options for carbapenem-resistant Acinetobacter baumannii (CRAB)-invasive infections highlight the urgent need for novel therapeutic agents. Zosurabalpin is a first-in-class tethered macrocyclic-peptide targeting the LptB₂FGC-complex. In this study, we evaluated the in vitro activity of zosurabalpin a1gainst a diverse global set of CRAB clinical isolates. We compared zosurabalpin's activity with currently available antibiotics, including colistin, cefiderocol, sulbactam-durlobactam, as well as rifabutin. Additionally, we assessed different AST methods to support reliable zosurabalpin susceptibility testing. We included a total of 304 CRAB clinical isolates from Switzerland, Israel, Turkey, Ethiopia, Pakistan, and Australia. Among them, 297 carried plasmid-borne-carbapenemases (236 OXA-type-producers, 60 NDM-type-producers alone or in combination with OXA-type-carbapenemases, and 1 GES-14-producer), 3 were GES-ESBL-producers, and 4 isolates were without acquired ESBL/carbapenemases. We determined zosurabalpin minimal inhibitory concentrations (MICs) by broth microdilution using cation-adjusted Mueller-Hinton broth (CA-MHB) supplemented with 20% heat-inactivated horse serum, in accordance with CLSI recommendations, as well as using plain CA-MHB, with reading at substantial reduction (80% growth inhibition). We determined MICs of the remaining antibiotics according to EUCAST methods: colistin and sulbactam-durlobactam (with fixed durlobactam concentration of 4 mg/L) with CA-MHB, cefiderocol with iron-depleted CA-MHB, and rifabutin with RPMI. The zosurabalpin MIC distribution using the CLSI-based method ranged from ≤0.032 to 2 mg/L (MIC90 = 0.5 mg/L), with no CRAB isolates showing MICs displaying MICs suggestive of high-level acquired resistance. A single isolate with MIC = 2 mg/L harbored a 13-amino-acid deletion in lptD (position 692), potentially affecting outer-membrane LPS biogenesis. MIC90 values for cefiderocol, sulbactam-durlobactam, colistin, and rifabutin were 8, 16, 1, and 2 mg/L, respectively. Zosurabalpin showed no cross-resistance with any of the tested antimicrobials. Zosurabalpin MICs in CRAB isolates were generally low, including metallo-β-lactamase-producing-CRAB. The low MICs show a high potential to overcome current treatment limitations; however, mutations in lptD may contribute to resistance emergence and should be further studied."
Deciphering the genomic landscape of Trichophyton indotineae in China and exploring a correlative model for azole resistance prediction.,Xu H; Mao Y; Hu Y; Huang J; Chen W; Lu L,Microb Genom,2026-Sep-01,10.1099/mgen.0.001812,42747433,PMC13580827,Antimicrobial Resistance,pubmed,False,"Background. Trichophyton indotineae is an emerging multidrug-resistant dermatophyte that has rapidly spread across continents, posing a serious threat to global public health. Limited genomic data from mainland China hinder a comprehensive understanding of its evolutionary origin, underscoring the urgent need for molecular susceptibility data to guide clinical antifungal therapy. To clarify the evolutionary origin and genome-wide characteristics of three newly identified clinical isolates of T. indotineae from Fujian Province, China, we sequenced these isolates to a mean coverage of 1,300× using the Salus Pro sequencing platform and delineated a comprehensive genomic portrait. Additionally, a linear regression model was constructed between the copy-number variation (CNV) of the CYP51B gene and the minimum inhibitory concentration (MIC) values of four antifungal agents to achieve molecular susceptibility prediction for T. indotineae. Finally, functional annotation and Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway analyses were employed to identify virulence-associated genes and pathways. Three T. indotineae isolates recovered in Xiamen, Fujian Province, China, fell into two distinct phylogenetic clades (Group II and Group IV). Notably, genome-wide scanning identified CYP51B CNV and the SQLE p.Phe397Leu mutation as the most prominent genomic determinants associated with azole and terbinafine (TRB) resistance, respectively. Structural modelling provided mechanistic support at the protein level for the functional impact of this mutation, revealing that the SQLE F397 substitution triggers a collapse of the hydrophobic binding pocket, thereby hindering TRB binding. Furthermore, a linear regression model was established to achieve molecular susceptibility prediction, showing a robust correlation between the CYP51B CNV and the MIC values of four azoles (P<0.05). Core-gene analysis against the reference genome identified a shared core genome. KEGG pathway analysis revealed the biological pathways where virulence genes are located, including the MAPK signalling pathway and the O-glycan biosynthesis pathway, which suggests potential pathogenic mechanisms. The study delineates the genomic landscape of T. indotineae isolates from China and demonstrates a stepwise elevation in azole MICs. The linear regression model reveals a significant positive correlation between CYP51B CNV and MIC values for four azoles, thereby advancing the CNV-resistance association from a qualitative observation to a quantitative prediction. These insights enhance the global understanding of the pathogen's genomic epidemiology and virulence, establishing a critical foundation for genome-guided surveillance and individualized antifungal therapy."
Prophage and metabolic determinants of Staphylococcus aureus survival to vancomycin identified via TraDIS screening.,Zborowsky S; Łapińska U; O'Neill PA; Farbos A; Jeffries AR; Ba X; Holmes MA; Laabei M; Zhang B; Blaskovich MAT; Grant A; Pagliara S,mSystems,2026-09-16,10.1128/msystems.00734-26,42747188,,Antimicrobial Resistance,pubmed,False,"Reduced vancomycin susceptibility phenotypes in Staphylococcus aureus contribute to treatment failure, yet the genetic determinants of survival under inhibitory vancomycin exposure remain incompletely defined. We performed transposon-directed insertion-site sequencing (TraDIS) on a methicillin-resistant S. aureus (MRSA) ST398 mutant library following exposure to vancomycin at its minimum inhibitory concentration, identifying 52 genes whose disruption was associated with loss of population survival at inhibitory drug concentrations. Prophage-associated loci were the largest functional group, spanning predicted structural and regulatory genes, as well as multiple conserved hypothetical proteins. Targeted testing of defined transposon mutants in a USA300 background confirmed that disruption of selected loci impaired growth under vancomycin exposure. Our results highlight the contribution of diverse physiological processes, including metabolism and stress responses, as well as a prominent role for prophage-associated functions, rather than discrete resistance pathways. Together, these findings indicate that vancomycin tolerance is shaped by the general physiological state of the bacterial cell, including metabolic capacity and stress adaptation.IMPORTANCETreatment failure in Staphylococcus aureus infections often occurs in the absence of known antibiotic resistance determinants, suggesting that additional survival mechanisms influence therapeutic outcomes. In this study, we identify genetic determinants required for survival during inhibitory vancomycin exposure, revealing a broad role for metabolic functions, stress adaptation, and prophage-associated loci. The prominence of these diverse processes highlights that survival reflects global physiological adaptation rather than discrete resistance pathways. This insight underscores the need to consider cellular physiology and stress responses when developing strategies to prevent antibiotic tolerance and improve treatment efficacy."
"""NanoDel"": Identification of large-scale mitochondrial DNA deletions using long-read sequencing.",Fearn C; Poulton J; Fratter C; Oliva C; Griguer C; Baldock RA; Robson SC; McGeehan RE,Bioinformatics,2026-09-15,10.1093/bioinformatics/btag684,42745550,,Antimicrobial Resistance; Long-Read Microbiology; Bioinformatics Tools,pubmed,False,"MOTIVATION: Traditional methods for detecting large-scale mitochondrial DNA (mtDNA) deletions (LSMDs) in cells present challenges, i.e. requiring a priori information, high DNA inputs, and are not always sensitive and/or quantitative. Mitigation can be achieved through high-throughput DNA sequencing using e.g. Illumina and Oxford Nanopore Technologies (ONT), in combination with LSMD breakpoint identification and quantification using bioinformatics. Splice-aware RNA alignment tools increase the sensitivity for detecting LSMD breakpoints compared with DNA aligners. Long-read sequencing (LRS) also offers potential advantages over short-read sequencing (SRS), e.g. greater read lengths and capturing variants on single reads. Here we aimed to capture the benefits of both a splice-aware alignment tool and LRS.

RESULTS: We developed ""NanoDel"", a LRS pipeline, to sensitively and accurately detect cellular LSMDs. Using artificial datasets, ""NanoDel"" was more sensitive and accurate than other pipelines. In samples diagnosed with mitochondrial disease, it identified both known and previously uncharacterised (including mixtures) of LSMDs, without a priori information. Analysis of selected LSMDs revealed proximity to repeat, putative G-quadruplex motifs, and the ""contact zone"". Together with occurrence in a range of healthy and pathological tissues, indicates potential for a shared vulnerability landscape in mtDNA, shaped by sequence motifs and structural constraints. This proof-of-concept study shows that ""NanoDel"" combined with one-amplicon LR-PCR offers a robust strategy for detecting LSMDs across a variety of cell/tissue samples. Applying ""NanoDel"" to a larger and broader range of samples would confirm this, yielding new mechanistic insights into LSMD formation, and further our understanding of mtDNA instability in the future.

AVAILABILITY AND IMPLEMENTATION: ""NanoDel"" is available at https://github.com/uopbioinformatics/NanoDel (DOI: 10.5281/zenodo.20119070) and raw read data are available through the NCBI Sequence Read Archive (SRA) under BioProject accession code PRJNA1369153 (https://www.ncbi.nlm.nih.gov/bioproject/1369153).

SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online."
Global genomic surveillance uncovers emergence and spatiotemporal patterns of World Health Organization priority antibiotic resistance in invasive Salmonella.,Pei Y; Yang Z; Pang X; Xiayidan W; Huang M; Meng J; Qiu Y; Wang M; Yang H; Jing C; Zeng M; Liu Y; Wang W; Zhou Y; Ma S; Lyu N; Qu M; Zhao C; Wang J; Chen J; Zhu B; Gao GF; Xu X; Wang Y,Nat Commun,2026-08-18,10.1038/s41467-026-76354-1,42744803,PMC13578455,Antimicrobial Resistance,pubmed,False,"Antimicrobial resistance (AMR) in invasive Salmonella infections remains a global public health concern, and enhanced high-quality genomic surveillance is essential to inform guidelines and policies. Here, we aimed to describe clinically key antibiotic resistance trends in invasive Salmonella infections using 7691 isolates derived from national surveillance and publicly available datasets between 1954 and 2024. 29 (37.7%) of 77 countries identified at least one isolate with resistance or decreased susceptibility to ciprofloxacin, 25 (32.5%) and 29 (37.7%) countries resistance or decreased susceptibility to ceftriaxone and cefixime, 8 (10.4%) countries resistance to azithromycin, 15 (19.5%) countries resistance to fosfomycin, 10 (13.0%) countries resistance to colistin. Overall, 7.39% of 7691 isolates were resistant or decreased susceptibility to ciprofloxacin, 7.91% reported resistance or decreased susceptibility to 3GCs, 4.23% reported resistance to fosfomycin, and 0.79% reported resistance to azithromycin. Globally, azithromycin resistance is increasing, as is resistance or decreased susceptibility to ciprofloxacin, 3GCs, and 4GCs. However, surveillance levels remain inadequate in African and South American regions. We generated a global map of clinically key antibiotic resistance genes in invasive Salmonella infections worldwide. This retrospective, global, longitudinal genomic epidemiology study on invasive Salmonella provides evidence-based data for clinical guidelines, genomic surveillance, AMR control, and public health policies."
The (un)successful global spread of Acinetobacter baumannii ST3.,Abu Sabah E; Lam MMC; Lebreton F; McGann PT; Hamidian M,Microb Genom,2026-Sep-01,10.1099/mgen.0.001819,42742953,PMC13583062,Antimicrobial Resistance,pubmed,False,"Acinetobacter baumannii sequence type 3 (ST3) has been reported in multiple regions but has not achieved the global dominance of major clones such as ST1 and ST2. Here, we analysed 383 ST3 genomes, including 205 isolates from the Multidrug-Resistant Organism Repository and Surveillance Network (MRSN) and 178 publicly available genomes, to investigate the population structure, resistance gene repertoire and evolutionary dynamics of this lineage. Phylogenetic analysis revealed two major clades with multiple subclades, with 82% of genomes linked to the Middle East, highlighting this region as the likely origin or reservoir. Despite detection across 12 countries, ST3 remains relatively uncommon globally, except in Israel where it is locally abundant. Pan-genome analysis revealed a core genome comprising ~42% of total gene content, comparable to other major sequence types. Extensive recombination was observed, including large chromosomal segments, a total of ~350 kb and ~1.2 Mb shared with ST1 and ST2, respectively, as well as recurrent exchanges at the ISAba1-ampC locus. A chromosomal resistance island, designated AbST3GRI, was identified in nearly all genomes and exhibited structural diversity driven by IS26. A total of 132 genomes carried carbapenem resistance genes, predominantly bla OXA-23. However, ST3 genomes contain a relatively limited repertoire of resistance genes compared to globally dominant clones. Despite retaining most key virulence determinants, ST3 has not undergone widespread global expansion. Our findings suggest that, although genetically dynamic and capable of acquiring resistance, the lack of extensive antibiotic resistance gene repertoire may have limited the global success of this lineage."
"Global Antimicrobial Non-Susceptibility Patterns of Streptococcus pneumoniae: A Systematic Literature Review (2014-2023) Stratified by Age, Region, and Infection Type.",Bhuiyan MU; Carter JA; Abbing-Karahagopian V,Infect Drug Resist,2026-09-10,10.2147/IDR.S612712,42741731,PMC13573865,Antimicrobial Resistance,pubmed,False,"Antimicrobial non-susceptibility of Streptococcus pneumoniae is an important global health challenge. While pneumococcal vaccination has significantly lowered the burden of pneumococcal disease, including that caused by antibiotic-resistant strains, non-susceptible S. pneumoniae isolates are still important contributors to morbidity and mortality, complicating treatment. Empiric antibiotic selection for treating pneumococcal disease should consider the local epidemiology and non-susceptibility profile of isolates. To comprehensively characterize the distribution of non-susceptibility to commonly used antibiotics of S. pneumoniae isolates across different age groups, geographical regions and infection types, we conducted a systematic literature review in accordance with PRISMA guidelines. We searched PubMed, Medline, and Embase to retrieve studies published between 2014 and 2023 reporting the proportion of non-susceptible S. pneumoniae isolates detected in patients with pneumococcal disease. Data were analyzed overall and stratified by age groups (pediatric and adult), World Health Organization region, and infection type (any invasive pneumococcal disease, meningitis, bacteremic pneumonia, non-bacteremic pneumonia, bacteremia/septicemia, and acute otitis media). Study quality was assessed using the Newcastle-Ottawa Scale. Due to observed data heterogeneity, meta-analysis was not performed. Of the 1200 publications identified, 128 (113 full-text articles and 15 conference abstracts) were included in the review, comprising antimicrobial susceptibility testing outcomes for >250,000 isolates. Globally, the highest non-susceptibility rates were observed for sulfonamides (52%), macrolides (40%), and lincosamides (30%). Higher rates were reported in the Western Pacific region, with ≥91% of isolates non-susceptible to commonly used antibiotics (lincosamides, tetracyclines, macrolides, and sulfonamides); elevated non-susceptibility to tetracyclines and sulfonamides was also observed in the Southeast Asian region. Non-susceptibility proportions, in general, were higher in the pediatric population than in adults, and they varied markedly by pneumococcal infection type. Up-to-date, stratified information on the non-susceptibility profile of S. pneumoniae isolates causing different types of infection can orient local prescription guidance to use appropriate antibiotics, thereby improving the treatment outcomes and reducing the potential threat of antibiotic resistance."
Ceftolozane/Tazobactam Susceptibility in ESBL-Producing Enterobacterales: Insights from the SMART Program 2020-2022 in China.,Wang Y; Zhang Y; Quan J; Fu Y; Zhou Z; Xia J; Yu Y,Infect Drug Resist,2026-09-10,10.2147/IDR.S624172,42741713,PMC13573848,Antimicrobial Resistance,pubmed,False,"PURPOSE: Surveillance data on ceftolozane/tazobactam (C/T) activity against extended-spectrum β-lactamase-producing Enterobacterales (ESBL-E) in China remains limited. This study summarized species- and source-specific C/T susceptibility patterns using isolates collected through the Study for Monitoring Antimicrobial Resistance Trends (SMART) China program (2020-2022).

METHODS: Non-duplicate Enterobacterales isolates from bloodstream, intra-abdominal, respiratory, and urinary tract infections (BSI, IAI, RTI, UTI) were collected in 18 tertiary hospitals. Minimum inhibitory concentrations (MICs) were determined by broth microdilution and interpreted using CLSI M100 2025. ESBL-E were defined as ceftriaxone-nonsusceptible (i.e, intermediate or resistant) and carbapenem-susceptible Enterobacterales (CSE), with species-specific adjustments for Morganella, Proteus, and Providencia; carbapenem-resistant isolates were analyzed separately. Annual rate was analyzed to reveal the resistance trend from 2020 to 2022.

RESULTS: All Enterobacterales isolates meeting inclusion criteria were analyzed; isolation rate is reported by species for the seven most prevalent, which together comprised 93.5% of isolates; the remaining genera contributed to the aggregate totals. Overall susceptibility of Enterobacterales to C/T was high. Among CSE, susceptibility was 92.2%, with 83.1% in ESBL‑E. By infection site, C/T susceptibility among ESBL‑E was 88.3% in UTI, 85.3% in BSI, 79.9% in RTI, and 77.4% in IAI. Susceptibility was highest in ESBL-Escherichia coli (90.6%) and lower in Klebsiella pneumoniae (72.9%) and Enterobacter cloacae (55.3%). Among ESBL-E, the MIC distribution for C/T was centered at ≤0.5-2 mg/L, corresponding to an overall susceptibility of 83.1%; resistant isolates (MIC ≥8 mg/L) were uncommon (12.4%) but clustered in selected species and sources.

CONCLUSION: C/T susceptibility among ESBL-E was high in E. coli but substantially lower and more variable in K. pneumoniae and E. cloacae; the aggregate order-level susceptibility of 83.1% should not be relied upon to guide empiric therapy when Klebsiella or Enterobacter infection is suspected. Continued surveillance and susceptibility testing are essential to support evidence-based antimicrobial use."
Antifungal resistance and poor clinical outcome rates of Candida auris in mainland China: A systematic review and meta-analysis.,Xu T; Wang R; Gao Y; Yang L,Front Microbiol,2026-08-31,10.3389/fmicb.2026.1888683,42741522,PMC13572796,Antimicrobial Resistance; Bioinformatics Tools,pubmed,False,"OBJECTIVE: This study systematically evaluated the antifungal resistance profile of Candida auris (C. auris) to five antifungal agents in mainland China, and analyzed clinical outcomes in a combined cohort of patients with C. auris colonization or infection. It aims to provide evidence-based references for clinical antifungal management and nosocomial infection prevention and control.

METHODS: Six databases, including PubMed, Web of Science, and Embase, were systematically searched to identify observational studies reporting antifungal susceptibility of C. auris isolates and clinical outcomes of corresponding patients in mainland China. Meta-analysis was adopted to pool the resistance rates and multidrug resistance (MDR) rate of five antifungal agents. Meanwhile, we summarized the overall rate of poor prognosis, in-hospital mortality rate, and rate of clinical deterioration at discharge for patients with detected C. auris. Funnel plots and Egger's test were used to assess publication bias.

RESULTS: C. auris in mainland China exhibited extremely high resistance to fluconazole, with a pooled resistance rate of 98% (95%CI: 93%-100%). Echinocandins maintained favorable overall susceptibility. The resistance rates of caspofungin, micafungin, and anidulafungin were 3% (95%CI: 0%-11%), 2% (95%CI: 0%-4%), and 1% (95%CI: 0%-3%), respectively. The resistance rate of C. auris to amphotericin B was 34% (95%CI: 12%-61%). The pooled MDR rate was 60% (95% CI: 16%-97%). The overall poor prognosis rate of patients with C. auris isolation was 43% (95%CI: 23%-64%). The in-hospital mortality rate was 24% (95% CI: 12%-38%), while the rate of clinical deterioration at discharge was 23% (95% CI: 5%-46%). No significant publication bias was observed in this study.

CONCLUSION: Fluconazole is not an appropriate choice for treating C. auris strains in mainland China, while echinocandins should be the primary treatment option. Amphotericin B should be administered cautiously based on antifungal susceptibility testing. The pooled MDR rate was relatively high. Patients with C. auris colonization or infection exhibit variable clinical outcomes. Clinical practice should prioritize routine laboratory antifungal susceptibility surveillance, standardized hospital infection control measures, and targeted interventions to improve patient clinical outcomes."
Hybridization capture increases on-target nanopore sequencing of plant RNA tobamovirus- derived cDNA libraries.,Espindola AS; Mosquera-Yuqui F; Ochoa-Corona F; Marek S,Front Microbiol,2026-08-31,10.3389/fmicb.2026.1925769,42741358,PMC13572650,Antimicrobial Resistance; Long-Read Microbiology,pubmed,False,"High-throughput sequencing (HTS) can support plant virus surveillance, but host nucleic acids often reduce on-target read recovery. We evaluated a targeted hybridization-capture workflow in which barcoded double-stranded cDNA (ds-cDNA) libraries generated from plant RNA extracts spiked with lyophilized tobamovirus-positive controls were enriched before Oxford Nanopore sequencing. Biotinylated probes targeted conserved regions of cucumber green mottle mosaic virus (CGMMV), species Tobamovirus viridimaculae; pepper mild mottle virus (PMMoV), species Tobamovirus capsici; and tobacco mosaic virus (TMV), species Tobamovirus tabaci. Across four pairs per virus, relative target-read abundance increased after capture from 0.76 ± 0.33% to 37.62 ± 15.72% for CGMMV, 8.16 ± 3.86% to 24.68 ± 12.34% for PMMoV, and 15.62 ± 10.40% to 36.83 ± 30.33% for TMV. Exact two-sided Wilcoxon signed-rank tests yielded P = 0.125 for each virus; with four nonzero differences in a common direction, this was the minimum attainable two-sided P value. Genome-coverage breadth was maintained. Retrospective duplex qPCR supported an increased virus-to-18S ratio for CGMMV, showed a variable PMMoV response, and showed a decreased virus-to-18S ratio for TMV because the 18S signal shifted earlier by as much as or more than the TMV signal. The findings provide proof-of-concept evidence for target-dependent library enrichment but do not establish analytical sensitivity, diagnostic performance, or field validity. Validation with naturally infected, low-titer, and mixed-infection samples and comparison with simpler targeted workflows are required."
